seed,exhaustiveness,elapsed_seconds,pose1_affinity,pose1_rmsd,best_rmsd,best_pose,top1_success,topn_success,num_poses
1,16,69,-9.44139,5.989338344141702,1.2853238416363357,7,0,1,9
10,16,67,-9.37782,5.95827896747395,1.5608233375078324,3,0,1,9
11,16,70,-9.39662,6.014554865541262,1.4993007186180114,3,0,1,9
12,16,67,-9.39853,6.022662806811075,1.510242241054946,3,0,1,9
13,16,69,-9.43134,5.992448601996996,1.4469528467113433,3,0,1,9
14,16,68,-9.43545,6.000522996650652,1.432316514770687,2,0,1,9
15,16,69,-9.42557,5.980347693272043,1.5897031532504884,3,0,1,9
16,16,66,-9.39112,5.969237134168771,1.6344291423038568,3,0,1,9
17,16,68,-9.45886,6.03798183193087,1.588156200908729,2,0,1,9
18,16,68,-9.41823,6.004712543469252,1.5592007330875026,2,0,1,9
19,16,68,-9.3789,5.954365565522392,1.487787769668698,4,0,1,9
2,16,68,-9.37086,6.028607621041931,1.630558713782153,2,0,1,9
20,16,68,-9.3568,5.968398158914446,1.6532693073807638,2,0,1,9
3,16,69,-9.40031,5.990052950011327,1.2170185567918665,4,0,1,9
4,16,68,-9.26551,5.946899327890175,1.4930719006819668,2,0,1,9
5,16,68,-9.39592,5.966550897370197,1.5732401083384722,2,0,1,9
6,16,69,-9.39221,5.958517299554555,1.248958019407548,4,0,1,9
7,16,67,-9.46647,5.998742874666629,1.583212823420283,2,0,1,9
8,16,68,-9.43783,5.970173032160742,1.5802683007718155,4,0,1,9
9,16,68,-9.4308,5.992103277142292,1.3898076996912962,6,0,1,9
1,32,136,-9.44626,5.976701449238813,1.6501228820174503,3,0,1,9
10,32,135,-9.44646,5.989656698236326,1.5652235554338072,4,0,1,9
11,32,135,-9.39662,6.014554865541262,1.4993007186180114,3,0,1,9
12,32,134,-9.43233,5.998318591652972,1.602446384296665,3,0,1,9
13,32,133,-9.42134,5.9905129851923,1.4469528467113433,4,0,1,9
14,32,136,-9.43545,6.000522996650652,1.6424264031295182,2,0,1,9
15,32,136,-9.32552,5.965987612112414,1.5897031532504884,3,0,1,9
16,32,133,-9.39112,5.969237134168771,1.0094883076753938,8,0,1,9
17,32,136,-9.42976,6.007896886850698,1.6241402621732277,2,0,1,9
18,32,135,-9.43947,5.976675763027775,1.5824831057550028,2,0,1,9
19,32,135,-9.3789,5.954365565522392,1.570986475840173,2,0,1,9
2,32,134,-9.42964,5.959182074697328,1.630558713782153,4,0,1,9
20,32,134,-9.3568,5.968398158914446,1.6532693073807638,2,0,1,9
3,32,138,-9.41575,5.980344388710049,1.5636982573373928,2,0,1,9
4,32,135,-9.3517,6.000110054571475,1.5893086324219439,2,0,1,9
5,32,135,-9.39592,5.966550897370197,1.5732401083384722,2,0,1,9
6,32,135,-9.44621,5.9823556324183285,1.152283795009903,4,0,1,9
7,32,134,-9.41671,5.986455378147027,1.583212823420283,2,0,1,9
8,32,134,-9.43783,5.970173032160742,1.6071672143397162,2,0,1,9
9,32,133,-9.45269,6.0137563382933665,1.365812693134484,5,0,1,9
1,8,36,-9.44139,5.989338344141702,1.2853238416363357,5,0,1,9
10,8,34,-9.37782,5.95827896747395,1.5608233375078324,3,0,1,9
11,8,35,-9.39662,6.014554865541262,1.542339569477408,3,0,1,9
12,8,34,-9.39853,6.022662806811075,1.510242241054946,3,0,1,9
13,8,35,-9.43134,5.992448601996996,1.3365789693138683,3,0,1,9
14,8,34,-9.38727,6.021612076260783,1.6188051994098502,3,0,1,9
15,8,36,-9.42557,5.980347693272043,1.6148160694586295,2,0,1,9
16,8,34,-9.38182,5.993848270139523,1.671726889123394,4,0,1,9
17,8,35,-9.45886,6.03798183193087,1.5406630926816918,2,0,1,9
18,8,34,-9.41823,6.004712543469252,1.5592007330875026,3,0,1,9
19,8,34,-9.4094,5.981558701973216,1.487787769668698,4,0,1,9
2,8,35,-9.31349,5.968780788326115,1.630558713782153,2,0,1,9
20,8,34,-9.3568,5.968398158914446,1.6532693073807638,2,0,1,9
3,8,35,-9.27974,6.127765411434724,1.5260159314470807,4,0,1,9
4,8,35,-9.2803,6.002150659176637,1.4930719006819668,2,0,1,9
5,8,35,-9.39592,5.966550897370197,1.4386526301727707,2,0,1,9
6,8,34,-9.42234,6.009536192611126,1.080111383285552,4,0,1,9
7,8,34,-9.30898,5.960425583595166,1.583212823420283,2,0,1,9
8,8,36,-9.43783,5.970173032160742,1.5802683007718155,3,0,1,9
9,8,34,-9.39877,6.026570307321645,0.9242327684642156,5,0,1,9
